Release Date,Episode Title,pos,neg,neu,compound,Episode,Season,Name,Sentence
08/04/2012,The Night Lands,0.155,0.147,0.697,-0.1779,2.0,2.0,tyrion lannister,"That's good of you, but you have heard them. I suppose people who do believe that filth, consider Robert's bastards to be better claimants to the throne than Cersei's children."
08/04/2012,The Night Lands,0.212,0.192,0.596,0.0772,2.0,2.0,tyrion lannister,The queen regent. And you're a fool to believe she's your friend.
08/04/2012,The Night Lands,0.151,0.165,0.684,-0.3822,2.0,2.0,saan,"Cersei, I want her. I'll sail with your fleet, all 30 of my ships, and if we don't drown at the bottom of Blackwater Bay, I will fuck this blonde queen and I will fuck her well."
08/04/2012,The Night Lands,0.0,0.178,0.822,-0.3818,2.0,2.0,tyrion lannister,"Listen to me, Queen Regent, you're losing the people. Do you hear me?"
15/04/2012,What Is Dead May Never Die,0.0,0.0,1.0,0.0,3.0,2.0,tyrion lannister,"It's done, Cersei."
22/04/2012,Garden of Bones,0.0,0.0,1.0,0.0,4.0,2.0,arya stark,Joffrey. Cersei. llyn Payne. The Hound. Joffrey. Cersei. llyn Payne. The Hound. Joffrey. Cersei. llyn Payne. The Hound.
22/04/2012,Garden of Bones,0.0,0.0,1.0,0.0,4.0,2.0,arya stark,Joffrey. Cersei. llyn Payne. The Hound.
22/04/2012,Garden of Bones,0.309,0.0,0.691,0.7003,4.0,2.0,lancel,"Her Grace, the Queen Regent, commands you to release Grand Maester Pycelle. Here's your warrant."
22/04/2012,Garden of Bones,0.0,0.0,1.0,0.0,4.0,2.0,tyrion lannister,And you've received these instructions directly from Cersei?
22/04/2012,Garden of Bones,0.151,0.0,0.849,0.2411,4.0,2.0,lancel,"When the Queen Regent gives me a command, I carry it out without delay."
22/04/2012,Garden of Bones,0.316,0.0,0.684,0.8126,4.0,2.0,tyrion lannister,"Cersei must have great trust in you, allowing you into her chamber during the hour of the wolf."
22/04/2012,Garden of Bones,0.24,0.0,0.76,0.6249,4.0,2.0,lancel,The Queen Regent has a great many responsibilities. She often works from dusk till dawn.
22/04/2012,Garden of Bones,0.158,0.071,0.771,0.4687,4.0,2.0,tyrion lannister,"An anointed knight, yes. Tell me, did Cersei have you knighted before or after she took you into her bed? What? Nothing to say? No more warnings for me, ser?"
22/04/2012,Garden of Bones,0.158,0.031,0.811,0.836,4.0,2.0,tyrion lannister,"You heard me. My father told you to obey my sister. Obey her. Stay close to her side. Keep her trust. Pleasure her whenever she requires. No one ever need know, as long as you keep faith with me. I want to know what Cersei is doing, where she goes, who she sees, what they talk of, everything. And you will tell me."
22/04/2012,Garden of Bones,0.164,0.024,0.812,0.8216,4.0,2.0,tyrion lannister,"Yes, I'll release him in the morning. Cersei can keep him as a pet, if she wants, but I will not have him on the Council. I could swear that I had not harmed a single hair on his head, but that would not, strictly speaking, be true. Stay within one table length."
13/05/2012,A Man Without Honor,0.097,0.311,0.592,-0.9101,7.0,2.0,jaime lannister,"Do you know, I've never been with any woman but Cersei. So in my own way, I have more honor than poor old dead Ned. What was the name of that bastard he fathered?"
20/05/2012,The Prince of Winterfell,0.094,0.0,0.906,0.4215,8.0,2.0,kevan,King's Landing will fall an hour after Stannis lands his force. It's not too late for King Joffrey and Cersei and the court to ride west to safety.
03/06/2012,Valar Morghulis,0.087,0.0,0.913,0.5423,10.0,2.0,jaqen hghar,"To be a dancing master is a special thing, but to be a faceless man, that is something else entirely. The girl has many names on her lips. Joffrey, Cersei, Tywin Lannister, llyn Payne, the Hound. Names to offer up to the Red God. She could offer them all one by one."
28/04/2013,Kissed by Fire,0.0,0.0,1.0,0.0,5.0,3.0,arya stark,Joffrey. Cersei. Ilyn Payne. Ser Meryn. The Hound. What are you going to do with me?
05/05/2013,The Climb,0.0,0.0,1.0,0.0,6.0,3.0,arya stark,Joffrey. Cersei. Ilyn Payne.
05/05/2013,The Climb,0.181,0.081,0.738,0.4588,6.0,3.0,olenna tyrell,"And if Cersei is too old to give Loras children, we're throwing another prized flower into the dirt. It is a chance we simply cannot take."
05/05/2013,The Climb,0.069,0.066,0.866,0.0258,6.0,3.0,tywin lannister,"If you refuse to marry Loras to Cersei, I will name him to the Kingsguard. I'm sure you're familiar with the Kingsguard vows. He will never marry. He will never have children."
19/05/2013,Second Sons,0.0,0.084,0.916,-0.6152,8.0,3.0,olenna tyrell,"So their son will be your nephew. After you're wed to Cersei, of course. And you will be the king's stepfather and brother-in-law. When you marry the king, Joffrey's mother will become his sister-in-law and your son will be Loras' nephew? Grandson? I'm not sure. But your brother will become your father-in-law. That much is beyond dispute."
09/06/2013,Mhysa,0.0,0.0,1.0,0.0,10.0,3.0,jaime lannister,Cersei.
13/04/2014,The Lion and the Rose,0.119,0.252,0.63,-0.5574,2.0,4.0,tyrion lannister,"You lost a hand, not a stomach. Try the boar. Cersei can't get enough of it since one killed Robert for her."
13/04/2014,The Lion and the Rose,0.054,0.155,0.791,-0.7964,2.0,4.0,jaime lannister,"Perhaps they should get married. If you were to marry Cersei, she'd murder you in your sleep. If you somehow managed to put a child in her first, she'd murder him, too, long before he drew his first breath. Luckily for you, none of this will happen because you'll never marry her."
13/04/2014,The Lion and the Rose,0.171,0.0,0.829,0.7506,2.0,4.0,oberyn martell,"I don't believe you have met Ellaria. This is the Lord Hand Tywin Lannister and Cersei Lannister, the Queen Regent. I suppose it is former Queen Regent now. Lord Hand and Lady Cersei, Ellaria Sand."
13/04/2014,The Lion and the Rose,0.171,0.0,0.829,0.7506,2.0,4.0,oberyn martell,"I don't believe you have met Ellaria. This is the Lord Hand Tywin Lannister and Cersei Lannister, the Queen Regent. I suppose it is former Queen Regent now. Lord Hand and Lady Cersei, Ellaria Sand."
13/04/2014,The Lion and the Rose,0.193,0.0,0.807,0.6705,2.0,4.0,oberyn martell,"I expect it is a relief, Lady Cersei, giving up your regal responsibilities. Wearing the crown for so many years must have left your neck a bit crooked."
